X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,Label
0.019,0.019,0.019,0.019,0.019,0.021,0.02,0.02,0.02,0.02,0.02,0.016,37.181,34.503,7.3007,25.884,6.4088,5.3159,1
0.019,0.019,0.019,0.019,0.021,0.021,0.02,0.02,0.02,0.02,0.016,0.016,41.024,13.565,43.392,15.305,13.877,31.579,1
0.019,0.019,0.019,0.021,0.021,0.021,0.02,0.02,0.02,0.016,0.016,0.016,8.1588,24.151,2.9956,34.226,36.603,4.5906,1
0.019,0.019,0.021,0.021,0.021,0.021,0.02,0.02,0.016,0.016,0.016,0.016,41.344,32.301,35.501,10.774,4.0331,5.815,1
0.019,0.021,0.021,0.021,0.021,0.021,0.02,0.016,0.016,0.016,0.016,0.016,29.486,40.396,37.29,31.782,41.998,24.814,1
0.021,0.021,0.021,0.021,0.021,0.023,0.016,0.016,0.016,0.016,0.016,0.019,6.9162,43.282,39.459,10.544,33.62,6.882,1
0.021,0.021,0.021,0.021,0.023,0.023,0.016,0.016,0.016,0.016,0.019,0.019,14.553,25.892,6.3632,18.35,23.419,37.326,1
0.021,0.021,0.021,0.023,0.023,0.023,0.016,0.016,0.016,0.019,0.019,0.019,25.878,8.65,19.671,29.201,27.214,37.3,1
0.021,0.021,0.023,0.023,0.023,0.023,0.016,0.016,0.019,0.019,0.019,0.019,43.207,9.1002,13.767,35.726,12.813,33.287,1
0.021,0.023,0.023,0.023,0.023,0.023,0.016,0.019,0.019,0.019,0.019,0.019,43.518,13.667,36.563,6.2235,22.163,9.1243,1
0.023,0.023,0.023,0.023,0.023,0.022,0.019,0.019,0.019,0.019,0.019,0.016,9.4513,38.278,21.006,42.02,43.442,30.635,1
0.023,0.023,0.023,0.023,0.022,0.022,0.019,0.019,0.019,0.019,0.016,0.016,43.759,13.531,41.229,35.535,25.875,24.685,1
0.023,0.023,0.023,0.022,0.022,0.022,0.019,0.019,0.019,0.016,0.016,0.016,43.192,37.163,10.474,23.343,24.792,43.86,1
0.023,0.023,0.022,0.022,0.022,0.022,0.019,0.019,0.016,0.016,0.016,0.016,23.283,13.077,13.932,21.193,12.573,30.187,1
0.023,0.022,0.022,0.022,0.022,0.022,0.019,0.016,0.016,0.016,0.016,0.016,36.572,42.015,8.9417,21.654,23.431,36.574,1
0.022,0.022,0.022,0.022,0.022,0.021,0.016,0.016,0.016,0.016,0.016,0.02,8.7876,17.569,8.5421,15.728,29.135,21.95,1
0.022,0.022,0.022,0.022,0.021,0.021,0.016,0.016,0.016,0.016,0.02,0.02,20.598,11.096,39.484,24.259,31.46,21.047,1
0.022,0.022,0.022,0.021,0.021,0.021,0.016,0.016,0.016,0.02,0.02,0.02,41.444,13.396,27.264,24.355,19.491,37.628,1
0.022,0.022,0.021,0.021,0.021,0.021,0.016,0.016,0.02,0.02,0.02,0.02,36.231,28.797,26.004,37.304,18.306,6.3224,1
0.022,0.021,0.021,0.021,0.021,0.021,0.016,0.02,0.02,0.02,0.02,0.02,43.291,22.773,8.9171,36.342,44.493,8.4198,1
0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,30.472,17.64,38.798,29.99,4.3926,10.117,1
0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,4.307,37.861,29.051,18.777,40.154,19.298,1
0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,38.633,27.498,17.61,37.049,41.341,37.884,1
0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,42.215,25.998,24.459,25.285,36.399,36.702,1
0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,31.443,41.506,19.756,17.601,6.9657,5.3519,1
0.02,0.02,0.02,0.02,0.02,0.022,0.019,0.019,0.019,0.019,0.019,0.021,34.777,14.862,6.0058,42.426,13.851,19.649,1
0.02,0.02,0.02,0.02,0.022,0.022,0.019,0.019,0.019,0.019,0.021,0.021,34.16,34.754,12.924,39.765,16.952,25.034,1
0.02,0.02,0.02,0.022,0.022,0.022,0.019,0.019,0.019,0.021,0.021,0.021,19.352,34.607,8.0041,26.017,31.485,20.389,1
0.02,0.02,0.022,0.022,0.022,0.022,0.019,0.019,0.021,0.021,0.021,0.021,30.461,18.855,10.561,29.068,8.5625,30.519,1
0.02,0.022,0.022,0.022,0.022,0.022,0.019,0.021,0.021,0.021,0.021,0.021,10.024,26.762,12.926,27.573,33.236,29.3,1
0.022,0.022,0.022,0.022,0.022,0.018,0.021,0.021,0.021,0.021,0.021,0.022,32.595,6.0011,20.409,11.567,7.3054,15.122,1
0.022,0.022,0.022,0.022,0.018,0.018,0.021,0.021,0.021,0.021,0.022,0.022,4.1433,5.0767,4.8954,15.513,30.389,21.016,1
0.022,0.022,0.022,0.018,0.018,0.018,0.021,0.021,0.021,0.022,0.022,0.022,14.486,25.2,40.895,22.673,23.654,3.4536,1
0.022,0.022,0.018,0.018,0.018,0.018,0.021,0.021,0.022,0.022,0.022,0.022,4.7484,35.681,42.67,12.527,35.676,44.327,1
0.022,0.018,0.018,0.018,0.018,0.018,0.021,0.022,0.022,0.022,0.022,0.022,6.899,42.215,23.514,38.43,32.975,9.8545,1
0.018,0.018,0.018,0.018,0.018,0.018,0.022,0.022,0.022,0.022,0.022,0.021,37.55,8.282,23.446,11.019,40.937,7.2823,1
0.018,0.018,0.018,0.018,0.018,0.018,0.022,0.022,0.022,0.022,0.021,0.021,32.122,26.804,17.052,12.334,40.397,18.516,1
0.018,0.018,0.018,0.018,0.018,0.018,0.022,0.022,0.022,0.021,0.021,0.021,16.182,22.608,40.782,10.004,16.902,11.161,1
0.018,0.018,0.018,0.018,0.018,0.018,0.022,0.022,0.021,0.021,0.021,0.021,42.899,3.3023,18.382,12.407,32.287,23.465,1
0.018,0.018,0.018,0.018,0.018,0.018,0.022,0.021,0.021,0.021,0.021,0.021,4.2536,17.027,7.4928,21.186,11.148,17.127,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.021,0.021,0.021,0.023,21.315,9.6441,35.727,15.929,4.0888,42.959,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.021,0.021,0.023,0.023,18.902,36.319,19.247,41.767,34.2,41.638,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.021,0.023,0.023,0.023,35.105,15.933,12.999,20.955,23.901,5.023,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.021,0.023,0.023,0.023,0.023,36.357,25.104,19.845,10.599,23.053,33.938,1
0.018,0.018,0.018,0.018,0.018,0.018,0.021,0.023,0.023,0.023,0.023,0.023,10.686,9.7904,6.8704,40.986,40.979,14.157,1
