X,Y,Z
0.019,0.02,0.024
0.019,0.02,0.024
0.019,0.02,0.024
0.019,0.02,0.024
0.019,0.02,0.024
0.021,0.016,0.025
0.021,0.016,0.025
0.021,0.016,0.025
0.021,0.016,0.025
0.021,0.016,0.025
0.023,0.019,0.026
0.023,0.019,0.026
0.023,0.019,0.026
0.023,0.019,0.026
0.023,0.019,0.026
0.022,0.016,0.024
0.022,0.016,0.024
0.022,0.016,0.024
0.022,0.016,0.024
0.022,0.016,0.024
0.021,0.02,0.022
0.021,0.02,0.022
0.021,0.02,0.022
0.021,0.02,0.022
0.021,0.02,0.022
0.02,0.019,0.026
0.02,0.019,0.026
0.02,0.019,0.026
0.02,0.019,0.026
0.02,0.019,0.026
0.022,0.021,0.025
0.022,0.021,0.025
0.022,0.021,0.025
0.022,0.021,0.025
0.022,0.021,0.025
0.018,0.022,0.024
0.018,0.022,0.024
0.018,0.022,0.024
0.018,0.022,0.024
0.018,0.022,0.024
0.018,0.021,0.025
0.018,0.021,0.025
0.018,0.021,0.025
0.018,0.021,0.025
0.018,0.021,0.025
0.018,0.023,0.026
0.018,0.023,0.026
0.018,0.023,0.026
0.018,0.023,0.026
0.018,0.023,0.026
0.016,0.022,0.028
0.016,0.022,0.028
0.016,0.022,0.028
0.016,0.022,0.028
0.016,0.022,0.028
0.019,0.018,0.026
0.019,0.018,0.026
0.019,0.018,0.026
0.019,0.018,0.026
0.019,0.018,0.026
0.021,0.021,0.023
0.021,0.021,0.023
0.021,0.021,0.023
0.021,0.021,0.023
0.021,0.021,0.023
0.021,0.018,0.02
0.021,0.018,0.02
0.021,0.018,0.02
0.021,0.018,0.02
0.021,0.018,0.02
0.018,0.018,0.029
0.018,0.018,0.029
0.018,0.018,0.029
0.018,0.018,0.029
0.018,0.018,0.029
0.018,0.019,0.024
0.018,0.019,0.024
0.018,0.019,0.024
0.018,0.019,0.024
0.018,0.019,0.024
0.019,0.019,0.027
0.019,0.019,0.027
0.019,0.019,0.027
0.019,0.019,0.027
0.019,0.019,0.027
0.015,0.019,0.029
0.015,0.019,0.029
0.015,0.019,0.029
0.015,0.019,0.029
0.015,0.019,0.029
0.018,0.018,0.027
0.018,0.018,0.027
0.018,0.018,0.027
0.018,0.018,0.027
0.018,0.018,0.027
0.02,0.016,0.025
0.02,0.016,0.025
0.02,0.016,0.025
0.02,0.016,0.025
0.02,0.016,0.025
0.022,0.017,0.022
0.022,0.017,0.022
0.022,0.017,0.022
0.022,0.017,0.022
0.022,0.017,0.022
0.019,0.02,0.019
0.019,0.02,0.019
0.019,0.02,0.019
0.019,0.02,0.019
0.019,0.02,0.019
0.02,0.02,0.022
0.02,0.02,0.022
0.02,0.02,0.022
0.02,0.02,0.022
0.02,0.02,0.022
0.024,0.017,0.023
0.024,0.017,0.023
0.024,0.017,0.023
0.024,0.017,0.023
0.024,0.017,0.023
0.018,0.015,0.023
0.018,0.015,0.023
0.018,0.015,0.023
0.018,0.015,0.023
0.018,0.015,0.023
0.018,0.014,0.02
0.018,0.014,0.02
0.018,0.014,0.02
0.018,0.014,0.02
0.018,0.014,0.02
0.021,0.016,0.022
0.021,0.016,0.022
0.021,0.016,0.022
0.021,0.016,0.022
0.021,0.016,0.022
0.021,0.02,0.023
0.021,0.02,0.023
0.021,0.02,0.023
0.021,0.02,0.023
0.021,0.02,0.023
0.023,0.017,0.02
0.023,0.017,0.02
0.023,0.017,0.02
0.023,0.017,0.02
0.023,0.017,0.02
0.02,0.018,0.022
0.02,0.018,0.022
0.02,0.018,0.022
0.02,0.018,0.022
0.02,0.018,0.022
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.024,0.019,0.027
0.024,0.019,0.027
0.024,0.019,0.027
0.024,0.019,0.027
0.024,0.019,0.027
0.019,0.022,0.023
0.019,0.022,0.023
0.019,0.022,0.023
0.019,0.022,0.023
0.019,0.022,0.023
0.016,0.016,0.02
0.016,0.016,0.02
0.016,0.016,0.02
0.016,0.016,0.02
0.016,0.016,0.02
0.017,0.018,0.022
0.017,0.018,0.022
0.017,0.018,0.022
0.017,0.018,0.022
0.017,0.018,0.022
0.02,0.015,0.028
0.02,0.015,0.028
0.02,0.015,0.028
0.02,0.015,0.028
0.02,0.015,0.028
0.019,0.019,0.032
0.019,0.019,0.032
0.019,0.019,0.032
0.019,0.019,0.032
0.019,0.019,0.032
0.017,0.018,0.029
0.017,0.018,0.029
0.017,0.018,0.029
0.017,0.018,0.029
0.017,0.018,0.029
0.022,0.018,0.022
0.022,0.018,0.022
0.022,0.018,0.022
0.022,0.018,0.022
0.022,0.018,0.022
0.03,0.018,0.024
0.03,0.018,0.024
0.03,0.018,0.024
0.03,0.018,0.024
0.03,0.018,0.024
0.027,0.018,0.022
0.027,0.018,0.022
0.027,0.018,0.022
0.027,0.018,0.022
0.027,0.018,0.022
0.025,0.015,0.029
0.025,0.015,0.029
0.025,0.015,0.029
0.025,0.015,0.029
0.025,0.015,0.029
0.02,0.018,0.032
0.02,0.018,0.032
0.02,0.018,0.032
0.02,0.018,0.032
0.02,0.018,0.032
0.021,0.017,0.021
0.021,0.017,0.021
0.021,0.017,0.021
0.021,0.017,0.021
0.021,0.017,0.021
0.017,0.021,0.025
0.017,0.021,0.025
0.017,0.021,0.025
0.017,0.021,0.025
0.017,0.021,0.025
0.019,0.045,0.028
0.019,0.045,0.028
0.019,0.045,0.028
0.019,0.045,0.028
0.019,0.045,0.028
0.018,0.051,0.029
0.018,0.051,0.029
0.018,0.051,0.029
0.018,0.051,0.029
0.018,0.051,0.029
0.019,0.057,0.027
0.019,0.057,0.027
0.019,0.057,0.027
0.019,0.057,0.027
0.019,0.057,0.027
0.021,0.06,0.023
0.021,0.06,0.023
0.021,0.06,0.023
0.021,0.06,0.023
0.021,0.06,0.023
0.027,0.054,0.024
0.027,0.054,0.024
0.027,0.054,0.024
0.027,0.054,0.024
0.027,0.054,0.024
0.022,0.031,0.021
0.022,0.031,0.021
0.022,0.031,0.021
0.022,0.031,0.021
0.022,0.031,0.021
0.024,0.048,0.024
0.024,0.048,0.024
0.024,0.048,0.024
0.024,0.048,0.024
0.024,0.048,0.024
0.024,0.045,0.024
0.024,0.045,0.024
0.024,0.045,0.024
0.024,0.045,0.024
0.024,0.045,0.024
0.018,0.029,0.029
0.018,0.029,0.029
0.018,0.029,0.029
0.018,0.029,0.029
0.018,0.029,0.029
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.016,0.023,0.025
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.022,0.026
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.017,0.02,0.03
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.021,0.02,0.026
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.023,0.02,0.023
0.022,0.019,0.031
0.022,0.019,0.031
0.022,0.019,0.031
